This is so revolting.;4;disgust
I'm so eager to see what happens next.;7;anticipation
This situation terrifies me.;2;fear
Losing my pet made me incredibly sad.;1;sadness
This situation terrifies me.;2;fear
 I didn't expect this surprise party!;5;surprise
I'm so eager to see what happens next.;7;anticipation
I can always count on you.;6;trust
I can always count on you.;6;trust
I'm scared to even move.;2;fear
I can't stop smiling!;0;joy
 I'm furious!;3;anger
I love spending time with my family and friends.;9;love
I can't help but feel jealous of their success.;12;jealousy
I love spending time with my family and friends.;9;love
I am so proud of my team's achievements!;13;pride
I feel so remorseful.;10;guilt
This is pure love.;9;love
I can't help but feel jealous of their success.;12;jealousy
My affection for them is endless.;9;love
I am so proud of my team's achievements!;13;pride
I can't believe I did that.;11;shame
I believe in their abilities.;6;trust
I feel so remorseful.;10;guilt
This guilt is eating me up inside.;10;guilt
Why does this always happen to me?;1;sadness
I feel heartbroken.;1;sadness
I can always count on you.;6;trust
I'm envious of their achievements.;12;jealousy
 I'm furious!;3;anger
I feel so satisfied with this result.;13;pride
That smell is absolutely disgusting!;4;disgust
I am completely shocked!;5;surprise
Why can't I have what they have?;12;jealousy
I am completely shocked!;5;surprise
I love spending time with my family and friends.;9;love
Why does this always happen to me?;1;sadness
I feel so satisfied with this result.;13;pride
I can always count on you.;6;trust
I believe in their abilities.;6;trust
I'm so eager to see what happens next.;7;anticipation
Why can't I have what they have?;12;jealousy
I believe in their abilities.;6;trust
I believe in their abilities.;6;trust
This guilt is eating me up inside.;10;guilt
This guilt is eating me up inside.;10;guilt
I feel heartbroken.;1;sadness
I can't help but feel jealous of their success.;12;jealousy
I froze when I saw the car speeding toward me.;2;fear
Losing my pet made me incredibly sad.;1;sadness
I love spending time with my family and friends.;9;love
My affection for them is endless.;9;love
Why can't I have what they have?;12;jealousy
I can't stop smiling!;0;joy
This is pure love.;9;love
I can always count on you.;6;trust
I can't stop smiling!;0;joy
My affection for them is endless.;9;love
I feel so satisfied with this result.;13;pride
This guilt is eating me up inside.;10;guilt
Why does this always happen to me?;1;sadness
I can always count on you.;6;trust
Why can't I have what they have?;12;jealousy
This is pure love.;9;love
I froze when I saw the car speeding toward me.;2;fear
I can't stand this!;4;disgust
I am completely shocked!;5;surprise
I'm so eager to see what happens next.;7;anticipation
I froze when I saw the car speeding toward me.;2;fear
This situation terrifies me.;2;fear
That smell is absolutely disgusting!;4;disgust
I'm envious of their achievements.;12;jealousy
I feel so happy today!;0;joy
I'm envious of their achievements.;12;jealousy
This guilt is eating me up inside.;10;guilt
I feel so remorseful.;10;guilt
I can't believe I did that.;11;shame
This is going to be exciting!;7;anticipation
Losing my pet made me incredibly sad.;1;sadness
This situation terrifies me.;2;fear
I regret breaking that promise to my sibling.;10;guilt
I'm so embarrassed I forgot my lines during the presentation.;11;shame
I feel so remorseful.;10;guilt
This guilt is eating me up inside.;10;guilt
I can't stand this!;4;disgust
This makes me so angry!;3;anger
I am so proud of my team's achievements!;13;pride
I can always count on you.;6;trust
This is so revolting.;4;disgust
This guilt is eating me up inside.;10;guilt
I feel so remorseful.;10;guilt
This is going to be exciting!;7;anticipation
I froze when I saw the car speeding toward me.;2;fear
This situation terrifies me.;2;fear
I froze when I saw the car speeding toward me.;2;fear
I regret breaking that promise to my sibling.;10;guilt
I regret breaking that promise to my sibling.;10;guilt
This is the best day of my life!;0;joy
This is astonishing!;5;surprise
I trust my best friend completely.;6;trust
I can't stand this!;4;disgust
This is astonishing!;5;surprise
I regret breaking that promise to my sibling.;10;guilt
 I'm furious!;3;anger
I am so proud of my team's achievements!;13;pride
I can always count on you.;6;trust
This is the best day of my life!;0;joy
I believe in their abilities.;6;trust
I am completely outraged!;3;anger
This makes me so angry!;3;anger
I can't believe I did that.;11;shame
I regret breaking that promise to my sibling.;10;guilt
This is so revolting.;4;disgust
Why can't I have what they have?;12;jealousy
I'm scared to even move.;2;fear
I feel heartbroken.;1;sadness
I'm envious of their achievements.;12;jealousy
This is the best day of my life!;0;joy
This guilt is eating me up inside.;10;guilt
I regret breaking that promise to my sibling.;10;guilt
I feel so happy today!;0;joy
I can't stand this!;4;disgust
I can't wait for the holiday trip next week!;7;anticipation
That smell is absolutely disgusting!;4;disgust
I'm so embarrassed I forgot my lines during the presentation.;11;shame
I feel completely relaxed.;8;calm
This is so humiliating.;11;shame
I love spending time with my family and friends.;9;love
This accomplishment fills me with pride.;13;pride
I can't stand this!;4;disgust
That smell is absolutely disgusting!;4;disgust
I can't stop smiling!;0;joy
I am so proud of my team's achievements!;13;pride
Why can't I have what they have?;12;jealousy
This is going to be exciting!;7;anticipation
I believe in their abilities.;6;trust
Why does this always happen to me?;1;sadness
I regret breaking that promise to my sibling.;10;guilt
I can't believe I did that.;11;shame
This accomplishment fills me with pride.;13;pride
I'm so embarrassed I forgot my lines during the presentation.;11;shame
I feel so happy today!;0;joy
I am completely shocked!;5;surprise
This makes me so angry!;3;anger
I love spending time with my family and friends.;9;love
I'm envious of their achievements.;12;jealousy
I'm scared to even move.;2;fear
I regret breaking that promise to my sibling.;10;guilt
I am completely outraged!;3;anger
I froze when I saw the car speeding toward me.;2;fear
I trust my best friend completely.;6;trust
I can't wait for the holiday trip next week!;7;anticipation
I can always count on you.;6;trust
I can't believe I did that.;11;shame
This is going to be exciting!;7;anticipation
Why can't I have what they have?;12;jealousy
I can't believe I did that.;11;shame
This situation terrifies me.;2;fear
This moment is so tranquil.;8;calm
Why does this always happen to me?;1;sadness
I am completely shocked!;5;surprise
I can't stop smiling!;0;joy
This makes me so angry!;3;anger
This moment is so tranquil.;8;calm
I am completely shocked!;5;surprise
I'm so embarrassed I forgot my lines during the presentation.;11;shame
I feel so remorseful.;10;guilt
This situation terrifies me.;2;fear
This is so humiliating.;11;shame
I can't stand this!;4;disgust
This is so humiliating.;11;shame
I am completely shocked!;5;surprise
This situation terrifies me.;2;fear
I feel so satisfied with this result.;13;pride
I'm envious of their achievements.;12;jealousy
I can't believe I did that.;11;shame
I am completely shocked!;5;surprise
This moment is so tranquil.;8;calm
I feel completely relaxed.;8;calm
Why can't I have what they have?;12;jealousy
I feel so happy today!;0;joy
I am so proud of my team's achievements!;13;pride
I regret breaking that promise to my sibling.;10;guilt
This is pure love.;9;love
This is the best day of my life!;0;joy
