im looking for a moderately priced restaurant that serves;0;inform
any part of town;0;inform 
bistro food;0;inform 
is there a moderately priced restaurant that serves british food;1;confirm 
yes;2;affirm 
could i get their phone number;3;request 
thank you good bye;4;thankyou 
moderately priced restaurant in the south part of town;0;inform 
any;0;inform 
address;3;request 
code;5;null 
postcode;3;request 
postcode;3;request 
thank you goodbye;4;thankyou 
cheap;0;inform 
any;0;inform 
mediterranean;0;inform 
phone number;3;request 
phone;3;request 
address;3;request 
phone number;3;request 
goodbye;6;bye 
im looking for a restaurant that serves seafood;0;inform 
any;0;inform 
seafood;0;inform 
can i get the address and phone number;3;request 
thank you goodbye;4;thankyou 
hello welcome to the cambridge system;5;null 
east;0;inform 
expensive;0;inform 
any type;0;inform 
is there anything else;7;reqalts 
could i have their phone number and the type of food;3;request 
type of food;3;request 
thank you good bye;4;thankyou 
expensive restaurant;0;inform 
north;0;inform 
yes;2;affirm 
fusion food;0;inform 
asian oriental;0;inform 
whats the phone number;3;request 
thank you good bye;4;thankyou 
restaurant in the north part of town serv;0;inform 
scottish;0;inform 
scottish;0;inform 
how about french food;7;reqalts 
phone number;3;request 
phone number;3;request 
thank you good bye;4;thankyou 
i need a restaurant in the north;0;inform 
part of town that serves chinese food;0;inform 
um;5;null 
cheap price range;0;inform 
i need one in the cheap price range;0;inform 
well can i get the address and the post code;3;request 
okay;5;null 
okay thank you good bye;4;thankyou 
im looking for am expensive restaurant in the south part;0;inform 
uh it doesnt matter;0;inform 
hindi food is okay;0;inform 
doesnt matter;0;inform 
no im sorry it should be expensive;8;negate 
is the anything else;7;reqalts 
you said expensive;0;inform 
its expensive;0;inform 
can i have the address and phone number;3;request 
what is the post code;3;request 
thank you good bye;4;thankyou 
noise;5;null 
im looking;5;null 
im looking;5;null 
looking for a moderately priced restaurant in the east part of town;0;inform 
it doesnt matter;0;inform 
is there anything else;7;reqalts 
phone number;3;request 
thank you good bye;4;thankyou 
sil;5;null 
im looking for a cheap restaurant in the east part of town;0;inform 
what type of food;3;request 
what is the address;3;request 
thank you good bye;4;thankyou 
expensive;0;inform 
east;0;inform 
any;0;inform 
food;0;inform 
type of food;3;request 
address;3;request 
phone number;3;request 
type of food served;3;request 
thank you;4;thankyou 
good bye;6;bye 
a cheap mexican restaurant;0;inform 
how about a cheap asian oriental restaurant;7;reqalts 
asian oriental;0;inform 
uh whats the phone number and address please;3;request 
thank you good bye;4;thankyou 
cheap restaurant;0;inform 
in the east part of town;0;inform 
phone number;3;request 
phone number;3;request 
address;3;request 
thank you good bye;4;thankyou 
i need a restaurant in the west part of town that serves europ;0;inform 
european;0;inform 
could i have the phone number please;3;request 
thank you good bye;4;thankyou 
i need a restaurant serving crossover food in the west part of town;0;inform 
how about vietnamese;7;reqalts 
what about vietnamese;0;inform 
vietnamese food;0;inform 
yes;2;affirm 
whats the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a restaurant in the center serving greek food;0;inform 
how about french food;7;reqalts 
is it serving french food;1;confirm 
what is the price range;3;request 
what is the address and phone number;3;request 
whats the phone number;3;request 
thank you good bye;4;thankyou 
im looking for a cheap restaurant;0;inform 
south;0;inform 
i dont care;0;inform 
