Date,GS Expected Loss,GS Share Price,GS 6M-Implied Volatility,GS Market-Implied 1-Yr PD,GS Option-Implied DtD,WFC Expected Loss,WFC Share Price,WFC 6M-Implied Volatility,WFC Market-Implied 1-Yr PD,WFC Option-Implied DtD,VIX Index,S&P 500 Total Market Capitalization,Ln SPX Level,SPX Returns,History Line,MS Expected Loss,MS Share Price,MS 6M-Implied Volatility,MS Market-Implied 1-Yr PD,MS Option-Implied DtD,JPM Expected Loss,JPM Share Price,JPM 6M-Implied Volatility,JPM Market-Implied 1-Yr PD,JPM Option-Implied DtD,BAC Expected Loss,BAC Share Price,BAC 6M-Implied Volatility,BAC Market-Implied 1-Yr PD,BAC Option-Implied DtD,C Expected Loss,C Share Price,C 6M-Implied Volatility,C Market-Implied 1-Yr PD,C Option-Implied DtD,NY Expected Loss,NY Share Price,NY 6M-Implied Volatility,NY Market-Implied 1-Yr PD,NY Option-Implied DtD,STT Expected Loss,STT Share Price,STT 6M-Implied Volatility,STT Market-Implied 1-Yr PD,STT Option-Implied DtD,Industry Expected Losses - Capital Weighted ,Market-based Capital Ratio MCAR [Market Capitalization / National Banking Total Assets],Industry Market Value of Assets
1/3/2007,0.040212412,200.72,0.26798,0.016769345,4.508364352,0.000103501,35.74,0.16209,4.14E-05,9.327541241,0.1204,1416.6,7.256014913,0,1,0.066902131,67.754,0.26208,0.029040819,4.287960427,0.007936345,48.07,0.18704,0.003200125,6.585238198,0.001020173,53.33,0.15613,0.000408486,8.366166152,0.005498711,552.5,0.16522,0.002212226,7.356064898,0.000120021,42.0712,0.19353,4.80E-05,8.925686047,0.001319192,68.11,0.25201,0.000528374,22.90671574,0.019174412,0.210119362,5084.230171
1/4/2007,0.042016988,198.85,0.27095,0.017555938,4.452858933,0.00010246,35.8,0.16206,4.10E-05,9.33319663,0.1151,1418.34,7.257242453,0.001227539,2,0.066668848,67.9947,0.26208,0.028925215,4.289490573,0.00769072,48.19,0.18604,0.00310031,6.623326591,0.000959806,53.67,0.15535,0.000384291,8.418403434,0.005635685,550.6,0.16575,0.002267662,7.328649518,0.000105788,41.9864,0.19168,4.23E-05,9.006705071,7.42E-05,68.61,0.20151,2.97E-05,22.90671569,0.019545625,0.209726199,5081.392325
1/5/2007,0.041767247,199.05,0.27052,0.017446897,4.460589577,0.000103025,35.6,0.1618,4.12E-05,9.335066101,0.1214,1409.71,7.251139288,-0.006103164,3,0.067520686,67.1231,0.26208,0.02934834,4.283946647,0.008660883,47.79,0.18999,0.003494842,6.476832315,0.001069087,53.24,0.15698,0.000428093,8.318182343,0.006159442,547.7,0.16847,0.002479705,7.204473131,0.000126009,41.785,0.19379,5.04E-05,8.896571875,8.37E-05,68.4,0.20292,3.35E-05,22.90671572,0.019929128,0.208950735,5076.259248
1/8/2007,0.039047098,203.73,0.26671,0.016262969,4.539759149,0.000118787,35.5,0.16347,4.75E-05,9.233190306,0.12,1412.84,7.253357142,0.002217854,4,0.067120683,67.5299,0.26208,0.029149308,4.2865351,0.007987826,47.95,0.18707,0.003221056,6.581503784,0.001140046,53.45,0.15863,0.000456539,8.237854496,0.006418698,550.5,0.17054,0.002584674,7.122608628,0.00013043,41.9546,0.19452,5.22E-05,8.873310699,0.000107571,69.12,0.20705,4.30E-05,22.90671569,0.01945621,0.21032826,5086.023619
1/9/2007,0.039557248,204.08,0.2679,0.016484422,4.520740808,0.000102594,35.59,0.16173,4.10E-05,9.338448945,0.1191,1412.11,7.252840319,-0.000516823,5,0.067275268,67.3721,0.26208,0.029226153,4.285531682,0.007353316,47.75,0.18349,0.00296331,6.705358053,0.001049633,53.5,0.15696,0.000420295,8.326991814,0.006471538,545.7,0.16995,0.002606171,7.137727739,0.000165799,41.7744,0.1977,6.63E-05,8.719996999,0.000136229,68.85,0.21021,5.45E-05,22.90671572,0.019590487,0.209534429,5080.866693
1/10/2007,0.036729719,208.11,0.26346,0.015259875,4.610325249,9.67E-05,35.48,0.1608,3.87E-05,9.385178132,0.1147,1414.85,7.254778797,0.001938479,6,0.066942505,67.7125,0.26208,0.029060846,4.287696529,0.006446985,48.1,0.17924,0.00259569,6.872507049,0.000981383,53.58,0.15568,0.000392939,8.397858028,0.00660716,541.3,0.1699,0.002661226,7.131001235,0.000118191,41.997,0.19321,4.73E-05,8.936018514,9.89E-05,69.43,0.20615,3.96E-05,22.90671568,0.01902808,0.209684409,5082.445125
1/11/2007,0.034745292,211.88,0.26056,0.014404911,4.674256608,8.03E-05,35.54,0.15859,3.21E-05,9.519991235,0.1087,1423.83,7.261105703,0.006326905,7,0.06630188,68.3766,0.26208,0.028743774,4.291916087,0.006352562,48.31,0.1791,0.002557422,6.88276992,0.000915838,53.26,0.15382,0.000366671,8.489675567,0.006056493,541.7,0.16669,0.002438139,7.269143708,0.000100472,42.3998,0.19158,4.02E-05,9.036360512,5.42E-05,70.69,0.19931,2.17E-05,22.90671571,0.018253158,0.210664128,5089.411341
1/12/2007,0.029233706,213.99,0.2489,0.012049526,4.900597212,9.14E-05,35.51,0.16014,0.000036559,9.425852922,0.1015,1430.73,7.265940083,0.00483438,8,0.065915072,68.7833,0.26208,0.028553062,4.294497611,0.006187972,47.99,0.17754,0.002490766,6.93572694,0.000847821,53.38,0.15244,0.000339416,8.57021424,0.005372394,543.8,0.16271,0.00216131,7.451352525,8.92E-05,42.7496,0.19049,3.57E-05,9.109196683,5.56E-05,71.15,0.20003,2.22E-05,22.90671575,0.016691496,0.211455609,5094.936506
1/16/2007,0.031753215,213.59,0.25455,0.013122789,4.790458561,6.82E-05,36.23,0.15775,2.73E-05,9.617032139,0.1074,1431.9,7.266757513,0.00081743,9,0.066111899,68.5758,0.26208,0.028650037,4.293180787,0.005722852,48.39,0.17552,0.002302458,7.025054285,0.000742475,53.44,0.14992,0.000297211,8.716142578,0.00478616,547.7,0.15939,0.001924348,7.614891702,6.75E-05,42.898,0.18712,2.70E-05,9.28234741,5.45E-05,71.02,0.19966,2.18E-05,22.90671569,0.016875282,0.212150098,5099.426355
1/17/2007,0.029381073,213.23,0.24897,0.012112158,4.896567538,4.73E-05,36.27,0.15359,1.89E-05,9.880257452,0.1059,1430.62,7.265863196,-0.000894317,10,0.066293944,68.3849,0.26208,0.028739856,4.291968793,0.005080848,48.43,0.17129,0.002042858,7.197045577,0.000753318,53.32,0.15003,0.000301555,8.706010302,0.004656247,543.9,0.15768,0.00187197,7.689267179,5.97E-05,42.6648,0.18527,2.39E-05,9.360591746,3.75E-05,72.06,0.19603,1.50E-05,22.88171111,0.016308382,0.211587708,5096.041312
1/18/2007,0.028215645,209.68,0.2449,0.011617583,4.965321417,3.94E-05,36.2,0.15145,1.57E-05,10.01499003,0.1085,1426.37,7.262888034,-0.002975161,11,0.067234524,67.4136,0.26208,0.029205891,4.285795772,0.004681231,48.15,0.16799,0.00188145,7.331486264,0.000672587,53.29,0.14781,0.000269216,8.835818435,0.003962751,543.9,0.15221,0.001592186,7.96559785,4.78E-05,43.3962,0.18392,1.91E-05,9.489122068,3.78E-05,71.58,0.19572,1.51E-05,22.88171108,0.015755661,0.210897292,5090.67608
