Tijdstempel,Please enter the participant id which the surveyor will give/has given you.,"Are you filling this form in for word-by-word output, or the immediate output?",How much prior experience do you have with chatbots?,Enjoyable,good,pleasing,pleasant,attractive,friendly,valuable,exciting,interesting,motivating,fast,time-efficient,practical,organized,creative,inventive,leading edge,innovative
10/20/2023 13:13:26,200,immediate output,4,2,5,2,3,2,2,3,2,2,3,6,5,2,6,2,6,3,5
10/20/2023 13:15:01,200,word-by-word output,4,6,5,6,4,5,4,4,1,2,4,5,3,4,4,4,4,3,5
10/20/2023 14:43:00,201,immediate output,3,2,5,5,6,2,5,2,2,5,5,3,1,1,6,3,4,3,3
10/20/2023 14:52:31,201,word-by-word output,3,3,6,3,6,3,6,3,5,2,4,5,6,3,5,3,3,3,3
10/21/2023 12:07:47,101,word-by-word output,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10/21/2023 12:31:55,101,immediate output,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10/21/2023 13:06:25,102,immediate output,1,4,5,4,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4
10/21/2023 13:23:43,102,word-by-word output,1,6,7,7,6,6,7,7,6,7,7,7,7,7,7,6,7,7,7
10/21/2023 17:13:49,400,immediate output,4,6,7,6,6,6,5,7,4,5,5,7,7,6,6,6,6,6,6
10/21/2023 17:30:04,401,immediate output,2,5,6,5,5,5,4,6,6,6,5,7,7,7,7,6,6,5,5
10/21/2023 17:46:09,400,word-by-word output,5,7,7,7,7,7,7,7,6,6,7,7,7,7,6,6,6,6,6
10/21/2023 18:02:32,401,word-by-word output,2,6,7,6,6,6,6,7,6,6,6,7,7,6,7,6,6,6,6
10/21/2023 20:11:02,403,word-by-word output,2,6,6,6,6,4,4,6,4,4,5,6,6,6,6,4,2,2,4
10/21/2023 20:36:53,403,immediate output,3,6,6,4,4,4,4,4,5,6,4,4,6,6,6,4,2,2,4
10/21/2023 21:25:36,203,immediate output,7,2,3,2,2,2,4,2,2,2,2,4,1,2,6,2,3,2,4
10/21/2023 21:35:25,203,word-by-word output,7,4,5,5,5,4,6,4,4,4,4,4,4,4,4,4,4,4,4
10/21/2023 21:45:23,202,immediate output,5,3,3,3,3,3,3,3,2,3,2,3,2,3,4,4,4,4,4
10/21/2023 21:51:09,202,word-by-word output,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,5,5,5
10/23/2023 8:56:24,103,word-by-word output,5,5,3,3,4,3,1,4,3,3,5,5,5,3,4,5,3,3,4
10/23/2023 9:21:10,103,immediate output,5,4,4,3,3,3,6,3,3,3,5,3,3,3,5,3,2,3,3
10/23/2023 12:53:26,402,word-by-word output,4,4,5,5,4,5,5,4,4,5,4,3,4,5,4,5,4,3,4
10/23/2023 13:04:12,402,immediate output,4,5,5,5,5,5,5,5,5,5,4,6,5,5,5,5,5,5,5
10/23/2023 13:20:19,404,immediate output,6,6,6,4,6,4,4,5,6,7,4,6,6,5,5,5,4,6,6
10/23/2023 13:26:36,404,word-by-word output,6,5,5,5,5,5,4,5,5,6,5,5,6,5,5,5,5,5,6
10/23/2023 13:46:37,405,word-by-word output,5,5,6,6,6,4,5,6,5,6,6,5,6,7,6,5,6,5,6
10/23/2023 13:56:51,405,immediate output,5,2,2,1,2,4,4,4,4,5,2,7,2,2,5,5,6,5,5
10/23/2023 15:03:19,500,word-by-word output,4,3,3,4,3,1,4,5,2,3,3,6,5,7,5,2,3,3,4
10/23/2023 15:10:46,500,immediate output,4,5,5,5,5,5,4,5,4,5,4,6,6,6,5,3,4,4,4
10/23/2023 18:18:25,501,immediate output,5,6,7,5,7,7,7,7,7,7,7,4,5,5,6,2,7,5,6
10/23/2023 18:25:00,501,word-by-word output,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
10/23/2023 18:33:52,502,word-by-word output,6,3,3,5,3,2,6,4,1,3,3,7,5,3,5,2,3,3,3
10/23/2023 18:38:26,502,immediate output,6,6,5,5,5,4,5,3,3,3,2,2,5,2,5,3,3,2,3
10/23/2023 20:05:37,104,immediate output,6,2,2,2,3,2,3,1,1,2,1,6,1,1,6,1,1,1,1
10/23/2023 20:19:13,104,word-by-word output,6,2,2,2,2,2,2,1,1,1,1,7,1,1,5,1,1,1,1
10/23/2023 22:47:04,205,word-by-word output,4,6,3,5,3,5,5,5,5,5,3,5,5,5,5,5,3,4,4
10/23/2023 22:56:14,204,immediate output,4,3,5,3,5,3,3,3,3,2,6,4,3,2,4,2,5,2,4
10/23/2023 22:57:00,205,immediate output,4,3,5,4,5,3,3,3,3,3,4,4,3,3,6,3,5,3,3
10/23/2023 23:05:17,204,word-by-word output,4,3,2,3,3,2,2,2,4,3,3,4,1,3,3,3,4,4,4
24-10-2023 10:42:45,300,immediate output,5,3,4,2,3,3,1,4,3,4,3,5,5,2,6,3,5,4,3
24-10-2023 11:05:13,300,word-by-word output,5,4,5,4,3,5,3,4,5,5,4,5,5,4,5,4,6,4,5
24-10-2023 10:45:35,301,immediate output,6,1,2,3,2,4,5,4,4,5,3,5,5,5,6,3,5,4,4
24-10-2023 11:20:54,301,word-by-word output,4,2,3,3,3,5,4,4,5,4,3,5,4,5,3,5,6,3,3
